wavelength n
3.460249042e-06 1.0001358852909392
3.436466698e-06 1.0001358864755496
3.4130090389999996e-06 1.00013588766833
3.3898694609999996e-06 1.00013588886928
3.367041538e-06 1.0001358900783996
3.3445190155e-06 1.0001358912956892
3.306010929e-06 1.0001358934348819
3.2522474884999996e-06 1.0001358965495906
3.2002048135e-06 1.0001358997153602
3.1498015875e-06 1.0001359029321906
3.1009615385000002e-06 1.0001359062000819
3.0536130535000003e-06 1.0001359095190339
3.0076888285e-06 1.0001359128890466
2.963125549e-06 1.0001359163101202
2.919863598e-06 1.0001359197822546
2.877846791e-06 1.0001359233054496
2.8370221325000005e-06 1.0001359268797057
2.7973395930000003e-06 1.0001359305050226
2.7587519024999997e-06 1.0001359341814
2.721214365e-06 1.0001359379088386
2.684684685e-06 1.0001359416873377
2.649122807e-06 1.0001359455168977
2.614490772e-06 1.0001359493975186
2.5807525805000004e-06 1.0001359533292
2.547874067e-06 1.0001359573119424
2.5158227849999997e-06 1.0001359613457457
2.484567901e-06 1.0001359654306097
2.4540800959999997e-06 1.0001359695665344
2.424331472e-06 1.00013597375352
2.3952954675e-06 1.0001359779915664
2.3669467785e-06 1.0001359822806737
2.3392612855e-06 1.0001359866208417
2.3122159850000004e-06 1.0001359910120704
2.2857889240000003e-06 1.00013599545436
2.2599591419999998e-06 1.0001359999477104
2.2347066165e-06 1.0001360044921217
2.21001221e-06 1.0001360090875937
2.1858576205e-06 1.0001360137341264
2.1622253384999998e-06 1.00013601843172
2.139098604e-06 1.0001360231803744
2.1164613660000002e-06 1.0001360279800897
2.0942982455e-06 1.0001360328308655
2.0725945015e-06 1.0001360377327024
2.0513359985e-06 1.0001360426855999
2.0305091734999997e-06 1.0001360476895584
2.01010101e-06 1.0001360527445775
1.9900990100000002e-06 1.0001360578506575
1.970491167e-06 1.0001360630077982
1.9512659435000002e-06 1.0001360682159999
1.932412248e-06 1.0001360734752622
1.913919414e-06 1.0001360787855855
1.895777179e-06 1.0001360841469695
1.877975666e-06 1.0001360895594142
1.8605053655e-06 1.00013609502292
1.8433571185e-06 1.0001361005374865
1.8265221015e-06 1.0001361061031135
1.8099918100000002e-06 1.0001361117198015
1.793758044e-06 1.0001361173875503
1.777812895e-06 1.00013612310636
1.7621487345000002e-06 1.0001361288762305
1.7467582000000001e-06 1.0001361346971616
1.731634183e-06 1.0001361405691536
1.71676982e-06 1.0001361464922065
1.7021584815e-06 1.0001361524663201
1.6877937615e-06 1.0001361584914943
1.673669468e-06 1.0001361645677294
1.6597796144999999e-06 1.0001361706950254
1.6461184119999999e-06 1.0001361768733823
